Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2016-01-04,1918.76,2,-42.55,-0.0217,1954.47,1954.52,1918.76,359018283,3966273691160,1215384387196179.0
2016-01-05,1930.53,1,11.77,0.0060999999999999,1911.93,1937.57,1911.93,446548849,4197593667227,1222621740423229.0
2016-01-06,1925.43,2,-5.1,-0.0026,1934.25,1934.25,1911.61,594612859,6274716917514,1219296930268774.0
2016-01-07,1904.33,2,-21.1,-0.011,1915.71,1926.41,1901.24,393042046,5003024735272,1205546061634302.0
2016-01-08,1917.62,1,13.29,0.0069999999999999,1889.42,1918.25,1883.82,430204496,5205453870899,1213738732721558.0
2016-01-11,1894.84,2,-22.78,-0.0118999999999999,1897.18,1907.43,1892.69,328768349,4509489882320,1199940483365569.0
2016-01-12,1890.86,2,-3.98,-0.0021,1907.61,1910.59,1888.94,295135807,3917468573787,1196604296583535.0
2016-01-13,1916.28,1,25.42,0.0134,1904.33,1921.0,1902.49,265221422,3943112134592,1212573969381428.0
2016-01-14,1900.01,2,-16.27,-0.0085,1893.18,1900.48,1882.02,310978896,4387096198195,1202051363306798.0
2016-01-15,1878.87,2,-21.14,-0.0111,1915.83,1918.3,1873.35,312359728,4578794363927,1188669434610932.0
2016-01-18,1878.45,2,-0.42,-0.0002,1856.03,1882.21,1854.55,276937471,4119703541387,1188342442684103.0
2016-01-19,1889.64,1,11.19,0.006,1879.8,1889.9,1866.76,335321475,4536458921789,1196846006146812.0
2016-01-20,1845.45,2,-44.19,-0.0233999999999999,1885.36,1885.36,1830.06,407298719,5339553350444,1168847405867186.0
2016-01-21,1840.53,2,-4.92,-0.0027,1848.1,1860.02,1838.04,433741872,4792984268207,1165653993911390.0
2016-01-22,1879.43,1,38.9,0.0210999999999999,1860.3,1879.43,1859.54,408460020,4399145940090,1190177921491724.0
2016-01-25,1893.43,1,14.0,0.0074,1890.15,1901.22,1882.74,315303630,4049947776030,1199185332545262.0
2016-01-26,1871.69,2,-21.74,-0.0115,1881.87,1884.13,1862.98,298824655,4470665969957,1185447563318354.0
2016-01-27,1897.87,1,26.18,0.0139999999999999,1888.07,1902.03,1883.39,348905009,5065420879244,1202100437084618.0
2016-01-28,1906.94,1,9.07,0.0048,1885.38,1907.56,1877.78,354305767,6242581212949,1207459165268457.0
2016-01-29,1912.06,1,5.12,0.0027,1905.01,1912.07,1888.48,386555496,6483654110790,1207457689753750.0
2016-02-01,1924.82,1,12.76,0.0067,1919.62,1926.11,1912.85,440317315,5160758129650,1215560971272562.0
2016-02-02,1906.6,2,-18.22,-0.0095,1914.96,1920.02,1906.06,412273173,4639398928084,1203571835980834.0
2016-02-03,1890.67,2,-15.93,-0.0084,1893.83,1894.72,1882.75,408594722,4815439476275,1193846682021936.0
2016-02-04,1916.26,1,25.59,0.0135,1900.48,1917.09,1897.18,365805340,5253765582379,1210371423515637.0
2016-02-05,1917.79,1,1.53,0.0008,1914.55,1921.76,1910.31,305766656,4791924023715,1212176289047185.0
2016-02-11,1861.54,2,-56.25,-0.0293,1872.68,1877.77,1858.9,386428227,4770142277441,1176622962163570.0
2016-02-12,1835.28,2,-26.26,-0.0141,1850.67,1857.12,1817.97,470499779,6338971133638,1160328509968555.0
2016-02-15,1862.2,1,26.92,0.0147,1857.33,1864.62,1847.6,284595241,4500530263693,1177463738372515.0
2016-02-16,1888.3,1,26.1,0.0139999999999999,1870.1,1892.15,1868.11,388318400,4267907515685,1193523037366343.0
2016-02-17,1883.94,2,-4.36,-0.0023,1889.41,1897.37,1881.03,344628508,5188345549018,1191552736823583.0
2016-02-18,1908.84,1,24.9,0.0132,1909.4,1910.12,1898.49,332576155,4785964701036,1206990296243163.0
2016-02-19,1916.24,1,7.4,0.0039,1904.5,1916.24,1902.24,312197914,3880809514070,1211528782209107.0
2016-02-22,1916.36,1,0.12,0.0001,1911.56,1921.14,1905.85,267858923,3486295374765,1211715539485177.0
2016-02-23,1914.22,2,-2.14,-0.0011,1928.85,1929.53,1909.79,326810628,3982343862075,1210413879558984.0
2016-02-24,1912.53,2,-1.69,-0.0009,1908.71,1918.63,1906.19,281600576,3556541803150,1209058667997935.0
2016-02-25,1918.57,1,6.04,0.0032,1919.08,1928.49,1906.99,305789943,4179857320436,1213111446375711.0
2016-02-26,1920.16,1,1.59,0.0008,1927.1,1927.8,1917.07,280216845,4644805620298,1215116614083594.0
2016-02-29,1916.66,2,-3.5,-0.0018,1921.76,1927.05,1916.66,275051533,4615416715916,1213244564068747.0
2016-03-02,1947.42,1,30.76,0.016,1944.27,1949.94,1942.24,323352320,5178066903913,1232705586664682.0
2016-03-03,1958.17,1,10.75,0.0055,1957.83,1958.17,1946.57,420984393,4981597118371,1240008234449428.0
2016-03-04,1955.63,2,-2.54,-0.0013,1956.01,1958.46,1949.47,316418039,4605781173898,1238204596472047.0
2016-03-07,1957.87,1,2.24,0.0011,1961.26,1963.43,1955.97,344612762,4687644257136,1239615543905190.0
2016-03-08,1946.12,2,-11.75,-0.006,1958.94,1958.94,1935.55,358684963,4893203334525,1232017082506752.0
2016-03-09,1952.95,1,6.83,0.0034999999999999,1940.55,1952.95,1938.32,355392204,4280888933323,1235545055622161.0
2016-03-10,1969.33,1,16.38,0.0084,1958.87,1976.19,1955.67,352325469,5162483354552,1246487835429229.0
2016-03-11,1971.41,1,2.08,0.0011,1968.3,1975.87,1966.65,303418591,4207111050708,1248055841751370.0
2016-03-14,1972.27,1,0.86,0.0004,1985.74,1985.9,1970.56,357078270,4218503169441,1248793362900332.0
2016-03-15,1969.97,2,-2.3,-0.0012,1975.61,1979.46,1966.44,264582971,3813225230042,1247136108143015.0
2016-03-16,1974.9,1,4.93,0.0025,1971.58,1982.08,1969.66,294460752,4124127207411,1250641744232004.0
2016-03-17,1987.99,1,13.09,0.0066,1984.69,2000.3,1984.33,291577599,5094460796795,1258766312638569.0
2016-03-18,1992.12,1,4.13,0.0021,1996.31,1996.31,1986.04,385847500,4776064316873,1261477235485594.0
2016-03-21,1989.76,2,-2.36,-0.0012,1999.25,2003.12,1982.7,323260286,4043689835810,1260543528694120.0
2016-03-22,1996.81,1,7.05,0.0034999999999999,1993.37,1997.76,1986.87,383752375,4492776419597,1265131035351657.0
2016-03-23,1995.12,2,-1.69,-0.0008,1996.47,2001.67,1989.84,367551361,4019678270669,1264002062320783.0
2016-03-24,1985.97,2,-9.15,-0.0046,1988.46,1992.76,1981.17,341173016,3822814311028,1258472321790682.0
2016-03-25,1983.81,2,-2.16,-0.0011,1991.06,1991.06,1981.53,463422004,3806595556221,1256783616932081.0
2016-03-28,1982.54,2,-1.27,-0.0006,1984.93,1992.46,1981.37,410468325,3406776599651,1256238511918536.0
2016-03-29,1994.91,1,12.37,0.0062,1986.93,1997.33,1984.07,385453520,4044429879039,1264203667676715.0
