Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,146069,153452,142907,149760,45542,-0.020709227278374653,223310
2016-01-05,147654,163471,147654,160310,75189,0.07044604700854706,223310
2016-01-06,170855,202493,165582,186146,184619,0.1611627471773438,223310
2016-01-07,180874,207771,176127,200388,114912,0.07650983636500386,223310
2016-01-08,194585,214099,191424,196166,73680,-0.021069125895762264,223310
2016-01-11,202493,202493,194060,195115,29029,-0.005357707247943044,223310
2016-01-12,199332,207771,179819,183510,57008,-0.059477743894626234,223310
2016-01-13,183510,187202,178238,186677,37708,0.017257915099994525,223310
2016-01-14,182455,191424,179293,189313,26169,0.014120646892761268,223310
2016-01-15,194060,223063,193004,214099,104602,0.13092603254927027,223310
2016-01-18,207771,216735,199332,213043,49784,-0.0049322976753745085,223310
2016-01-19,206715,208821,192474,199857,44824,-0.061893608332590166,223310
2016-01-20,201443,204079,181404,184040,34275,-0.07914158623415746,223310
2016-01-21,184566,189838,164002,171385,53462,-0.06876222560312972,223310
2016-01-22,175602,175602,158724,166107,46021,-0.030796160690842234,223310
2016-01-25,170329,187202,167163,187202,74746,0.12699645409284388,223310
2016-01-26,181929,197221,181929,188782,52167,0.008440080768367775,223310
2016-01-27,193530,193530,178238,181404,23735,-0.0390821158796919,223310
2016-01-28,186146,191949,181404,181404,26264,0.0,223310
2016-01-29,178763,180349,168744,174021,23120,-0.0406992128067738,223310
2016-02-01,178763,178763,168218,168218,10698,-0.033346550129007446,223310
2016-02-02,168744,172965,162946,170855,16883,0.01567608698236822,223310
2016-02-03,170329,177713,168218,171385,10860,0.0031020455942172287,223310
2016-02-04,173491,175076,165582,167163,7486,-0.024634594626134154,223310
2016-02-05,167693,176127,167693,171910,13042,0.02839743244617532,223310
2016-02-11,160310,167163,147654,148705,15238,-0.13498342155779186,223310
2016-02-12,145543,150291,131832,133943,19953,-0.09927036750613627,223310
2016-02-15,138685,141327,130252,138160,9150,0.0314835415064616,223310
2016-02-16,139216,148705,138685,148705,13661,0.07632455124493331,223310
2016-02-17,148705,150291,140271,140271,8422,-0.05671631754144113,223310
2016-02-18,144488,169799,144488,157144,48268,0.12028858424050592,223310
2016-02-19,155033,166638,152927,159780,20234,0.016774423458738585,223310
2016-02-22,159254,161365,151871,157144,12957,-0.016497684315934458,223310
2016-02-23,158724,160835,155033,155033,6615,-0.013433538665173383,223310
2016-02-24,155033,159780,149760,150291,9687,-0.030587036308398874,223310
2016-02-25,152927,155033,145013,148180,11677,-0.014046083930508102,223310
2016-02-26,149760,153452,147124,148180,9518,0.0,223310
2016-02-29,149235,150291,142377,144488,9260,-0.024915643136725563,223310
2016-03-02,147124,149235,143963,145543,5568,0.007301644427218923,223310
2016-03-03,148180,157144,144488,155563,30384,0.06884563324928039,223310
2016-03-04,155563,159780,152396,159254,17955,0.02372672164974965,223310
2016-03-07,160310,161365,152927,152927,9127,-0.03972898639908573,223310
2016-03-08,155033,156088,144488,147654,7926,-0.03448050376977252,223310
2016-03-09,150291,155563,147654,154507,6881,0.046412559090847516,223310
2016-03-10,157674,159254,152927,156088,10168,0.010232546098235096,223310
2016-03-11,156088,157144,152396,153452,5028,-0.01688790938444984,223310
2016-03-14,156088,159254,153982,157144,7957,0.024059640799728887,223310
2016-03-15,159254,162416,153982,153982,13534,-0.020121671842386557,223310
2016-03-16,155033,157674,149760,150816,8208,-0.0205608447740645,223310
2016-03-17,151871,153982,150291,151346,8442,0.0035142159983025945,223310
2016-03-18,157144,159780,154507,155033,13131,0.02436139706368179,223310
2016-03-21,156088,157144,151871,152396,6104,-0.017009281894822426,223310
2016-03-22,154507,167163,152927,164527,39307,0.07960182681960148,223310
2016-03-23,166107,169274,162416,166638,30057,0.012830720793547634,223310
2016-03-24,166107,166107,162416,162946,11698,-0.022155810799457498,223310
2016-03-25,162946,171385,161891,169274,20016,0.03883495145631066,223310
2016-03-28,167693,167693,160835,164527,40340,-0.028043290759360517,223310
2016-03-29,167163,183510,165052,183510,75291,0.11537923866599398,223310
2016-03-30,180874,186146,177182,184566,30100,0.005754454798103659,223310
2016-03-31,183510,188782,182985,185621,20311,0.005716112393398642,223310
2016-04-01,185621,187202,174546,177713,18469,-0.04260293824513395,223310
2016-04-04,177713,180874,170329,174546,21570,-0.017820868478952034,223310
2016-04-05,174546,174546,166638,170329,22328,-0.024159820333894744,223310
2016-04-06,169799,172965,165582,168218,22176,-0.012393661678281487,223310
2016-04-07,170855,176127,168218,173491,20639,0.031346229297696926,223310
2016-04-08,171910,180874,170329,178763,17159,0.030387743456432803,223310
2016-04-11,180874,181404,174021,174021,8939,-0.026526742111063206,223310
2016-04-12,175076,179293,174021,176657,11712,0.015147597129082202,223310
2016-04-14,176657,181404,170855,181404,10673,0.026871281636164923,223310
2016-04-15,180349,180874,173491,174021,10099,-0.0406992128067738,223310
2016-04-18,171910,173491,166638,167693,10336,-0.03636342740243992,223310
2016-04-19,167693,169799,164002,166107,11746,-0.009457759119343101,223310
2016-04-20,165052,168218,160835,163471,9519,-0.015869289072706128,223310
2016-04-21,164002,167693,162946,164002,5642,0.0032482825699970963,223310
2016-04-22,164002,165582,161891,161891,7821,-0.012871794246411605,223310
2016-04-25,161891,161891,155563,160835,13668,-0.006522907388304522,223310
2016-04-26,159780,161365,157674,157674,6449,-0.01965368234526066,223310
2016-04-27,156618,166638,156088,162946,11945,0.03343607696893591,223310
2016-04-28,166107,166107,160310,161365,5109,-0.009702600861635102,223310
2016-04-29,161891,161891,156088,157144,6164,-0.02615808880488335,223310
2016-05-02,156618,158199,145013,147124,13713,-0.0637631726314718,223310
2016-05-03,147124,149235,144488,148705,7909,0.010746037356243798,223310
2016-05-04,149235,149235,140796,142907,13452,-0.03898994653844856,223310
2016-05-09,143963,145543,140271,143963,6378,0.007389421092038884,223310
2016-05-10,143963,149760,143433,147654,6666,0.025638532122837177,223310
2016-05-11,149235,149760,145543,146599,5449,-0.007145082422419957,223310
2016-05-12,146069,153982,146069,150816,14226,0.02876554410330212,223310
2016-05-13,150816,151346,147654,149235,4484,-0.010482972628898746,223310
2016-05-16,149235,152927,147654,147654,6671,-0.01059402955070865,223310
2016-05-17,147654,147654,141327,143963,7863,-0.024997629593509152,223310
2016-05-18,145543,159780,142377,154507,43197,0.0732410411008384,223310
2016-05-19,176127,179819,154507,155563,126828,0.006834641796164664,223310
2016-05-20,156618,158199,150291,150816,22111,-0.030514968212235538,223310
2016-05-23,153982,157144,151346,156088,12185,0.03495650328877575,223310
2016-05-24,156088,158199,150291,152396,14543,-0.023653323766080647,223310
2016-05-25,153452,156088,144488,144488,20547,-0.051891125751332035,223310
2016-05-26,146599,148705,142377,145013,10836,0.0036335197386634377,223310
2016-05-27,146069,146069,141327,142377,10991,-0.018177680621737413,223310
2016-05-30,142907,143963,135524,135524,19147,-0.04813277425426865,223310
2016-05-31,136049,140796,135524,138685,9365,0.023324282045984468,223310
2016-06-01,139216,141852,138160,138160,8121,-0.0037855571979665825,223310
2016-06-02,139216,139741,136580,138160,7808,0.0,223310
2016-06-03,140796,144488,139216,143433,15004,0.038165894614939244,223310
2016-06-07,143963,145543,140796,140796,6420,-0.018384890506368823,223310
2016-06-08,141852,142377,139741,141852,6565,0.007500213074234985,223310
2016-06-09,143433,143433,139216,139216,8423,-0.018582748216450895,223310
2016-06-10,139741,140796,135524,136049,13350,-0.02274882197448569,223310
2016-06-13,134994,138685,132888,134994,7274,-0.0077545590191768765,223310
2016-06-14,133943,136049,131832,133413,6157,-0.011711631628072317,223310
2016-06-15,133413,140271,131307,139741,9198,0.04743165958339901,223310
2016-06-16,139741,141327,133413,133413,8211,-0.04528377498371983,223310
2016-06-17,133943,136049,129196,132888,6661,-0.003935148748622663,223310
2016-06-20,132358,133943,131307,132358,4832,-0.003988320992113659,223310
2016-06-21,132888,132888,128666,130252,6211,-0.01591139183124557,223310
2016-06-22,130252,136049,128666,133413,9711,0.02426834136903855,223310
2016-06-23,132358,133413,127616,129196,8730,-0.03160861385322267,223310
2016-06-24,129721,130777,113905,115485,32296,-0.10612557664323974,223310
2016-06-27,109157,113905,107047,112849,19224,-0.022825475169935494,223310
2016-06-28,110738,117596,109157,117596,10427,0.04206506039043334,223310
2016-06-29,118121,127616,118121,123394,16688,0.04930439810877929,223310
2016-06-30,124449,146069,122338,132358,88067,0.07264534742369966,223310
2016-07-01,136580,142377,134469,136049,30411,0.0278864896719504,223310
2016-07-04,137635,141852,134469,137635,12797,0.011657564553947397,223310
2016-07-05,136580,139216,133943,137635,10537,0.0,223310
2016-07-06,137635,141327,135524,140796,13314,0.022966541940640184,223310
2016-07-07,140271,141852,137635,138160,9091,-0.018722122787579232,223310
2016-07-08,136580,138685,131832,134994,11445,-0.022915460335842464,223310
2016-07-11,136049,142907,134469,141852,27752,0.05080225787812798,223310
2016-07-12,142377,142907,139216,141852,7226,0.0,223310
2016-07-13,143433,143433,139216,139216,6074,-0.018582748216450895,223310
2016-07-14,139216,143963,138685,140271,7654,0.0075781519365589745,223310
2016-07-15,141327,144488,139741,140271,15807,0.0,223310
2016-07-18,141852,141852,133413,134994,14947,-0.03762003550270543,223310
2016-07-19,134994,138160,133943,134994,4551,0.0,223310
2016-07-20,135524,136580,131307,133943,8646,-0.007785531208794438,223310
2016-07-21,135524,138160,132888,136049,5584,0.01572310609736971,223310
2016-07-22,136049,136580,134469,135524,3519,-0.00385890377731557,223310
2016-07-25,137105,137105,133943,133943,4645,-0.01166583040642244,223310
2016-07-26,134469,134994,132358,133943,4500,0.0,223310
2016-07-27,134994,135524,127616,128666,10287,-0.03939735559155755,223310
2016-07-28,129721,132358,129196,129196,4996,0.004119192327421306,223310
2016-07-29,130252,135524,129721,134994,7231,0.04487755038855701,223310
2016-08-01,135524,136049,132888,133943,3587,-0.007785531208794438,223310
2016-08-02,133943,133943,130252,132888,3669,-0.00787648477337377,223310
2016-08-03,131832,139216,129721,135524,14723,0.0198362530853049,223310
2016-08-04,137635,138160,133943,136580,7211,0.007791977804669337,223310
2016-08-05,137105,138160,133943,136580,8889,0.0,223310
2016-08-08,137105,143963,136580,142377,40161,0.04244398887099132,223310
2016-08-09,142907,143963,140271,141327,10177,-0.007374786657957433,223310
2016-08-10,141327,143433,136049,136580,15394,-0.03358876930805865,223310
2016-08-11,136580,136580,131832,131832,12127,-0.034763508566407975,223310
2016-08-12,132888,134994,131832,131832,6488,0.0,223310
2016-08-16,129196,130252,126560,127616,15161,-0.031980095879604375,223310
2016-08-17,129196,129721,125505,127085,8129,-0.004160920260782297,223310
2016-08-18,127616,128666,123394,123394,7366,-0.02904355352716681,223310
2016-08-19,123394,126030,122338,123394,4553,0.0,223310
2016-08-22,123394,124974,120232,120232,4605,-0.025625232993500502,223310
2016-08-23,120232,122868,119702,120232,3076,0.0,223310
2016-08-24,120232,123394,120232,120758,3146,0.004374875241200282,223310
2016-08-25,121283,122868,119702,120232,3420,-0.0043558190761688875,223310
2016-08-26,121283,121813,118121,118647,2997,-0.013182846496772926,223310
2016-08-29,118647,120232,112319,112849,6093,-0.04886764941380739,223310
2016-08-30,113905,132888,113905,124449,63756,0.1027922267809196,223310
2016-08-31,124449,125505,119702,124974,11578,0.00421859556926929,223310
2016-09-01,123394,130252,121813,121813,11398,-0.02529326099828766,223310
2016-09-02,121283,124449,121283,122338,3067,0.004309884823458843,223310
2016-09-05,122868,129196,121283,126030,9023,0.030178685281760265,223310
2016-09-06,124974,127616,122868,124449,4663,-0.012544632230421349,223310
2016-09-07,124974,126030,122868,122868,2729,-0.01270399922859966,223310
2016-09-08,122868,124449,118647,119702,4145,-0.025767490314809405,223310
2016-09-09,119177,124974,116541,123394,4584,0.030843260764231273,223310
2016-09-12,121283,123394,119177,120232,3570,-0.025625232993500502,223310
2016-09-13,120232,122868,119177,119177,2293,-0.008774702242331456,223310
2016-09-19,120232,121813,117596,118121,3476,-0.00886077011503894,223310
2016-09-20,118121,121813,118121,119177,4406,0.008939985269342365,223310
2016-09-21,119177,123394,118121,123394,27132,0.03538434429462067,223310
2016-09-22,124974,130777,123924,130777,16779,0.05983273092694952,223310
2016-09-23,131307,131832,129721,129721,5824,-0.008074814378675188,223310
2016-09-26,128666,129721,126560,126560,5888,-0.024367681408561492,223310
2016-09-27,124449,128141,124449,125505,5037,-0.008335967130214894,223310
2016-09-28,126560,127616,124974,124974,4412,-0.004230907135173934,223310
2016-09-29,126030,130252,126030,126560,5120,0.01269063965304773,223310
2016-09-30,126560,128141,125505,126030,3590,-0.004187737041719375,223310
2016-10-04,126560,128141,124974,126030,3144,0.0,223310
2016-10-05,126560,127085,124449,124449,5540,-0.012544632230421349,223310
2016-10-06,124974,125505,123924,124449,2470,0.0,223310
2016-10-07,124449,126030,121283,121283,3778,-0.025440140137727107,223310
2016-10-10,121283,126030,119702,125505,7698,0.03481114418343867,223310
2016-10-11,125505,126560,124449,125505,4631,0.0,223310
2016-10-12,125505,128141,124449,125505,8527,0.0,223310
2016-10-13,126560,127085,123924,123924,4254,-0.012597107684952813,223310
2016-10-14,124449,124974,122338,122868,3764,-0.008521351796262233,223310
2016-10-17,121813,124974,121813,123924,2701,0.008594589315362722,223310
2016-10-18,123924,126560,122338,123394,3231,-0.004276814821987718,223310
2016-10-19,123394,125505,121813,125505,7381,0.017107801027602676,223310
2016-10-20,126560,127616,121283,121813,9406,-0.029417154695032033,223310
2016-10-21,121813,122868,120232,121283,4794,-0.004350931345587061,223310
2016-10-24,121283,122338,119177,119177,2676,-0.01736434619856042,223310
2016-10-25,120758,121283,114955,115485,6050,-0.03097913187947343,223310
2016-10-26,115485,115485,110213,112849,3473,-0.022825475169935494,223310
2016-10-27,111263,119702,111263,118647,5047,0.051378390592738965,223310
2016-10-28,119177,127085,117066,125505,14073,0.057801714329060117,223310
2016-10-31,123924,125505,119177,121283,4284,-0.03364009402015855,223310
2016-11-01,120232,126030,120232,120758,7210,-0.004328718781692387,223310
2016-11-02,120232,122868,117066,122868,6789,0.01747296245383323,223310
2016-11-03,122338,126560,121813,124449,8704,0.012867467526125553,223310
2016-11-04,123394,123924,117596,118121,7129,-0.05084813859492643,223310
2016-11-07,117066,120232,117066,119177,3751,0.008939985269342365,223310
2016-11-08,121283,121283,117596,118647,3314,-0.004447166819100956,223310
2016-11-09,120232,120758,105991,111794,9476,-0.05775957251342212,223310
2016-11-10,113374,115485,110738,112849,12271,0.009437000196790502,223310
2016-11-11,112849,116541,112849,113905,4044,0.00935763719660776,223310
2016-11-14,113905,117066,113374,114955,2328,0.009218208155919339,223310
2016-11-15,116010,120758,115485,117596,14555,0.022974207298508187,223310
2016-11-16,116541,117596,110738,114430,20104,-0.026922684445049194,223310
2016-11-17,114430,116541,112319,116541,10606,0.01844795945119282,223310
2016-11-18,116010,116010,112319,113374,4597,-0.027174985627375747,223310
2016-11-21,112319,112849,108627,109683,5358,-0.03255596521248261,223310
2016-11-22,109683,111263,108627,109683,3432,0.0,223310
2016-11-23,109683,110738,108102,109683,4450,0.0,223310
2016-11-24,108102,109157,103355,104200,10199,-0.049989515239371674,223310
2016-11-25,104200,104200,95131,98398,17735,-0.0556813819577735,223310
