Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,4807,4841,4586,4603,638298,-0.059076042518397376,001230
2016-01-05,4603,4790,4603,4679,378558,0.016510971105800465,001230
2016-01-06,4764,4781,4645,4730,379166,0.010899764907031484,001230
2016-01-07,4730,4807,4679,4756,278246,0.0054968287526426796,001230
2016-01-08,4747,4747,4518,4637,344438,-0.0250210260723297,001230
2016-01-11,4637,4637,4433,4441,471385,-0.04226870821651929,001230
2016-01-12,4458,4535,4458,4501,279631,0.013510470614726433,001230
2016-01-13,4492,4654,4484,4586,300026,0.01888469229060208,001230
2016-01-14,4509,4518,4382,4433,231584,-0.033362407326646304,001230
2016-01-15,4501,4501,4296,4373,280019,-0.01353485224452966,001230
2016-01-18,4296,4441,4296,4373,190523,0.0,001230
2016-01-19,4382,4399,4211,4271,309093,-0.023324948547907565,001230
2016-01-20,4271,4313,4033,4122,330748,-0.03488644345586511,001230
2016-01-21,4156,4254,4058,4139,312626,0.004124211547792411,001230
2016-01-22,4233,4296,4165,4271,224639,0.03189176129499871,001230
2016-01-25,4313,4433,4203,4233,322612,-0.008897213767267598,001230
2016-01-26,4169,4407,4092,4169,321771,-0.015119300732341134,001230
2016-01-27,4262,4467,4250,4296,343409,0.030462940753178236,001230
2016-01-28,4288,4322,4194,4271,300330,-0.005819366852886421,001230
2016-01-29,4262,4526,4262,4373,490357,0.023881994848981458,001230
2016-02-01,4475,4475,4254,4288,246314,-0.019437457123256396,001230
2016-02-02,4279,4356,4254,4330,198623,0.009794776119403048,001230
2016-02-03,4271,4313,4126,4152,275045,-0.04110854503464201,001230
2016-02-04,4237,4416,4207,4407,356088,0.06141618497109835,001230
2016-02-05,4399,4569,4399,4509,267271,0.023144996596323963,001230
2016-02-11,4424,4501,4288,4467,307472,-0.009314703925482393,001230
2016-02-12,4696,4875,4390,4526,1344699,0.013207969554510868,001230
2016-02-15,4645,4798,4628,4756,651580,0.05081749889527187,001230
2016-02-16,4807,4824,4688,4730,352144,-0.005466778805719108,001230
