date,title,category
2016.06.30. 오전 10:36,유튜브 내달 2일까지 크리에이터 지원 공간 운영,생활문화
2016.05.08. 오전 5:25,어버이날 맑다가 흐려져…남부지방 옅은 황사,생활문화
2016.03.15. 오후 12:00,내년부터 국가RD 평가 때 논문건수는 반영 않는다,사회
2017.02.28. 오전 9:54,김명자 신임 과총 회장 원로와 젊은 과학자 지혜 모을 것,사회
2018.04.03. 오전 7:05,회색인간 작가 김동식 양심고백 등 새 소설집 2권 출간,생활문화
2016.07.18. 오전 9:46,야외서 생방송 하세요…액션캠 전용 요금제 잇따라,IT과학
2018.06.04 08:15,월드컵 태극전사 16강 전초기지 레오강 입성종합,스포츠
2018.01.17. 오전 10:14,미세먼지 속 출근길,생활문화
2019.10.30. 오전 4:17,왓츠앱稅 230원에 성난 레바논 민심…총리사퇴로 이어져종합2보,세계
2019.06.28. 오후 5:42,베트남 경제 고성장 지속…2분기 GDP 6.71% 성장,세계
2019.06.26. 오전 1:49,그리스서 한국전 참전 기념식…참전용사 한반도 평화 기원,세계
2016.11.05. 오후 7:30,정진석 이정현 당현실 냉정하게 봐야…물러나는게 좋다종합,정치
2019.02.27. 오전 8:21,美 베네수엘라 구호품 반입 촉구 안보리 결의 추진,세계
2018.09.16 17:28,황재균 쐐기타…kt 갈 길 바쁜 삼성에 고춧가루,스포츠
2018.04.26. 오전 7:01,정상회담 D1 文대통령 취임 후 남북관계 주요 일지,정치
2016.04.27. 오후 5:36,LGU＋ 1분기 영업익 1천706억원…마케팅 비용 감소종합,경제
2019.05.02. 오전 9:30,박원순 시장 아부다비 루브르 박물관 방문,정치
2019.05.27. 오후 6:11,방심위 강릉서 고성 산불현장처럼 보도한 KBS 관계자 징계,사회
2019.06.25. 오후 12:55,파키스탄 경제난 속 카타르서 30억 달러 투자 유치,세계
2019.12.21. 오후 2:22,일본 예산팽창에 재정건전성 우려…내년에 장기채무 GDP 2배,세계
2016.06.03. 오전 6:20,칠레 민중가수 살해하고 미국 도피 전 군인 법정에 선다,세계
2019.04.10. 오전 10:50,日 온라인으로 중국인 비자신청 받는다,세계
2017.01.25. 오후 2:13,미 동부 마비시킨 악성 파일 국내서도 발견,세계
2019.01.17. 오전 10:30,국내 발간 나노분야 학술지 나노 컨버전스 SCIE 등재,IT과학
2018.11.30. 오후 6:00,5G 상용화 행정절차 완료…이통3사 내일 동시 전파 발사,IT과학
2019.12.10. 오전 11:01,예스24 독자들이 선정한 올해의 책 여행의 이유,생활문화
2018.09.28. 오후 4:32,이해찬 정경두에 안보지원사 기무사 같은 일 없도록 해야,사회
2017.06.26. 오후 5:00,미래부 17개 부처별 연구비관리시스템 2개로 통합한다,사회
2018.06.02 00:19,손흥민 더 승부욕 갖고 거칠게 해야…나부터 반성,스포츠
2019.09.08. 오전 8:46,SK텔레콤안양시 모빌리티·스마트시티 조성 업무협약,사회
2016.03.12. 오후 4:26,울산 오후 4시 건조주의보,생활문화
2019.08.21. 오전 11:03,기업들 日규제 직접 피해보다 수입 불확실성이 더 문제,경제
2019.07.04. 오후 5:15,日경제산업상 경제보복 비판여론에 언론이 제대로 이해못해,세계
2018.10.12 23:40,다시 포효한 황의조 3년 만의 A매치 골 집중력 유지한...,스포츠
2016.10.08. 오전 7:17,최근 5년간 공무원시험 응시 127만명…경제비용 수조원,사회
2019.01.28. 오후 4:14,트럼프 의회서 장벽예산 합의할 가능성 50% 이하,세계
2019.11.08 20:50,프리미어12 보러 온 MLB 최지만 저도 뛰고 싶었지만,스포츠
2016.06.23. 오전 6:26,베네수엘라 대통령 미국과 관계 복원 대화 재개 합의,세계
2016.07.28. 오후 6:19,朴대통령 울산 십리대숲·재래시장 방문…휴가 중 민생 행보,정치
2018.11.17 13:54,어빙 NBA 통산 1만 점…보스턴 동부 1위 토론토 제압...,스포츠
