Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,208500,2,-8500,-3.92,215000,215000,205500,369586,77565255750,20397645489000,97830434,KSQ
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,359000,2,-10000,-2.71,366500,382500,358000,407457,150248092500,19237497137000,53586343,KSQ
086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,131700,2,-7300,-5.25,136000,137500,131500,988701,132152528650,17881719218400,135776152,KSQ
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,805000,1,103000,14.67,738000,824000,733000,357914,284536489000,15616885690000,19399858,KSQ
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,185700,2,-14300,-7.15,199400,204500,181200,1870590,351568541700,8631544169700,46481121,KSQ
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),92550,2,-6350,-6.42,99000,99300,91000,450139,42374412600,7842321427500,84736050,KSQ
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,325500,2,-13500,-3.98,332500,340500,315000,142259,46524914250,7635407136000,23457472,KSQ
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,96100,2,-1300,-1.33,99400,100300,95200,599038,58163583800,7323958785000,76211850,KSQ
028300,KR7028300002,HLB,KOSDAQ,중견기업부,52400,1,1600,3.15,53100,53300,50600,501287,25935731500,6979586885200,133198223,KSQ
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,278500,2,-22500,-7.48,302500,303000,274000,190038,54338032000,6493881975000,23317350,KSQ
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,110500,2,-1400,-1.25,110800,114800,109000,256756,28636233000,6186614661500,55987463,KSQ
108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,410500,1,85000,26.11,353000,418000,352500,1088967,431581820000,6016709994000,14657028,KSQ
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,447500,2,-10500,-2.29,464000,464500,441000,91415,40910377000,5512998625000,12319550,KSQ
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,109700,2,-2400,-2.14,114500,121000,106500,1377522,155548668600,5495621921900,50096827,KSQ
141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,147800,2,-3300,-2.18,151100,155600,147100,206388,30955150300,5471469980400,37019418,KSQ
240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,102500,2,-3500,-3.3,104300,105900,101400,402951,41707012100,5031099852500,49083901,KSQ
178320,KR7178320008,서진시스템,KOSDAQ,중견기업부,76500,2,-1100,-1.42,78000,79400,71600,1406363,104622200950,4867828645500,63631747,KSQ
319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,41450,1,1700,4.28,40100,43400,39500,3616813,149307400700,4616536816550,111376039,KSQ
310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,249000,2,-38000,-13.24,279500,279500,248000,138571,35665843250,4582140579000,18402171,KSQ
214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,83700,2,-4700,-5.32,90900,90900,81900,86956,7343403900,4495945500000,53715000,KSQ
095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,210500,1,8000,3.95,204000,216000,198400,120585,25135516100,4461980709000,21197058,KSQ
403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,46400,2,-2250,-4.62,47900,48700,46000,1987518,93304456525,3818720000000,82300000,KSQ
222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,101100,2,-17000,-14.39,118500,118500,101000,914167,97665514400,3787603424100,37463931,KSQ
226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,174600,2,-500,-0.29,179500,188100,173100,381369,67908132474,3544481791800,20300583,KSQ
347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,80300,2,-14300,-15.12,94400,94400,79800,2376487,199171362500,3517473004100,43804147,KSQ
080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,95200,2,-2600,-2.66,98000,104000,92100,2131042,209589560300,3278957701600,34442833,KSQ
010170,KR7010170009,대한광통신,KOSDAQ,중견기업부,20950,2,-1750,-7.71,22700,22850,20300,12581183,265026258800,3257424577000,155485660,KSQ
131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,158600,1,1300,0.83,160300,171300,154300,385842,62736462500,3065299946800,19327238,KSQ
