Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,348500,1,31500,9.94,319500,349000,319500,27315379,9168699022000,2037428094888000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,2370000,1,37000,1.59,2299000,2398000,2296000,3302094,7745906816500,1689104605050000,712702365,STK
005935,KR7005931001,삼성전자우,KOSPI,,227500,1,25000,12.35,203500,235000,203000,9313091,2061177313152,182539448682500,802371203,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1258000,1,25000,2.03,1249000,1289000,1210000,694688,865911576500,166003649588000,131958386,STK
005380,KR7005380001,현대차,KOSPI,,767000,1,44000,6.09,736000,778000,727000,1699820,1275589424000,157049206522000,204757766,STK
009150,KR7009150004,삼성전기,KOSPI,,2045000,2,-82000,-3.86,2021000,2086000,1989000,1175967,2392346803500,152748608320000,74693696,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,459000,1,1000,0.22,469500,476000,446000,488484,223724928000,107406000000000,234000000,STK
032830,KR7032830002,삼성생명,KOSPI,,416000,1,27500,7.08,387000,419500,383000,341400,136977893500,83200000000000,200000000,STK
028260,KR7028260008,삼성물산,KOSPI,,478000,1,45500,10.52,444000,493500,440000,673719,313079990250,77516103718000,162167581,STK
329180,KR7329180004,HD현대중공업,KOSPI,,701000,1,5000,0.72,700000,719000,685000,273966,193044316500,73577818725000,104961225,STK
012330,KR7012330007,현대모비스,KOSPI,,792000,1,24000,3.13,770000,822000,742000,1180911,911361809000,71860205736000,90732583,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,110000,1,4400,4.17,109300,114200,107700,3421275,379130018500,70461726060000,640561146,STK
000270,KR7000270009,기아,KOSPI,,174100,1,4900,2.9,170500,174600,167600,1118072,191709977300,67970902951800,390412998,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1384000,1,21000,1.54,1356000,1390000,1344000,31958,43677231500,64066676184000,46290951,STK
066570,KR7066570003,LG전자,KOSPI,,380500,4,87500,29.86,375000,380500,358500,4696575,1756257051500,61977604759000,162884638,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1135000,2,-38000,-3.24,1173000,1243000,1116000,203469,240084840500,58524460135000,51563401,STK
105560,KR7105560007,KB금융,KOSPI,,153500,1,2900,1.93,149100,155500,149100,550060,84070757500,57232544842500,372850455,STK
